Model Year,Make,Model Name,Vehicle Class,Engine Size (L),Cylinders,Transmission,Fuel Type,Fuel Consumption: City (L/100 km),Fuel Consumption: Hwy (L/100 km),Fuel Consuption: Comb (L/100 km),Fuel Consuption: Comb (mpg),CO2 Emissions (g/km),CO2 Rating,Smog Rating
2020,Acura,RDX AWD A-SPEC,SUV: Small,2,4,AS10,Z,11.3,9.1,10.3,27,241,5,6
2020,Acura,TLX SH-AWD,Compact,3.5,6,AS9,Z,11.4,7.7,9.8,29,228,5,3
2020,Alfa Romeo,Stelvio AWD,SUV: Small,2,4,A8,Z,10.8,8.3,9.6,29,226,5,3
2020,Alfa Romeo,Stelvio,SUV: Small,2,4,A8,Z,10.3,8.1,9.3,30,218,5,3
2020,Aston Martin,DBS Superleggera,Minicompact,5.2,12,A8,Z,16.4,10.7,13.8,20,324,3,3
2020,Audi,A5 quattro,Subcompact,2,4,AM7,Z,10,7.3,8.8,32,205,6,3
2020,Audi,TT RS,Subcompact,2.5,5,AM7,Z,12.1,8.2,10.3,27,241,5,3
2020,Audi,TT Roadster quattro,Two-seater,2,4,AM7,X,10.3,7.7,9.1,31,213,5,7
2020,Audi,A5 Sportback quattro,Mid-size,2,4,AM7,Z,10,7.3,8.8,32,205,6,3
2020,Audi,S3,Subcompact,2,4,AM7,Z,10.7,8,9.5,30,222,5,3
2020,Audi,A4 allroad quattro,Station wagon: Small,2,4,AM7,Z,10,7.4,8.8,32,206,6,3
2020,Audi,S5 Sportback,Mid-size,3,6,AS8,Z,11.8,8.9,10.5,27,245,5,5
2020,Audi,Q7,SUV: Standard,3,6,AS8,Z,13.8,11.4,12.7,22,296,3,5
2020,Bentley,Flying Spur,Mid-size,6,12,AM8,Z,19.2,12.2,16,18,373,2,3
2020,Bentley,Bentayga,SUV: Standard,6,12,AS8,Z,20,13.8,17.2,16,401,1,3
2020,BMW,M240i xDrive Coupe,Subcompact,3,6,AS8,Z,11.4,8.3,10,28,233,5,3
2020,BMW,M240i Coupe,Subcompact,3,6,M6,Z,12.7,8.8,10.9,26,255,4,3
2020,BMW,440i Coupe,Compact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,X7 xDrive50i,SUV: Standard,4.4,8,AS8,Z,15.5,11.4,13.6,21,318,3,3
2020,BMW,M850i xDrive Cabriolet,Subcompact,4.4,8,AS8,Z,14.5,9.9,12.4,23,290,3,3
2020,BMW,X1 xDrive28i,SUV: Small,2,4,AS8,Z,10.3,7.7,9.1,31,213,5,7
2020,BMW,440i xDrive Coupe,Compact,3,6,AS8,Z,11.4,8.3,10,28,233,5,3
2020,BMW,M4 Coupe,Compact,3,6,M6,Z,13.4,9.6,11.7,24,273,4,3
2020,BMW,Z4 sDrive30i,Two-seater,2,4,AS8,Z,9.5,7.4,8.5,33,200,6,7
2020,BMW,X4 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2020,BMW,430i xDrive Gran Coupe,Compact,2,4,AS8,Z,10.9,7.5,9.4,30,219,5,7
2020,BMW,X3 M40i,SUV: Small,3,6,AS8,Z,11.3,8.7,10.1,28,235,5,5
2020,BMW,230i Coupe,Subcompact,2,4,AS8,Z,9.5,7.4,8.5,33,200,6,7
2020,BMW,X2 M35i,SUV: Small,2,4,AS8,Z,10,7.8,9,31,210,5,3
2020,BMW,M240i Cabriolet,Subcompact,3,6,AS8,Z,11.4,8.1,9.9,29,231,5,3
2020,BMW,X3 xDrive30i,SUV: Small,2,4,AS8,Z,10,8.2,9.2,31,215,5,7
2020,BMW,M5 Competition,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,BMW,M8 Gran Coupe,Mid-size,4.4,8,AS8,Z,16,11,13.8,20,322,3,3
2020,Buick,Envision AWD,SUV: Small,2,4,A9,Z,11.7,9.4,10.7,26,250,4,5
2020,Buick,Encore AWD,SUV: Small,1.4,4,AS6,X,10,8,9.1,31,214,5,5
2020,Buick,Encore GX AWD,SUV: Small,1.3,3,A9,X,9,8,8.5,33,199,6,7
2020,Cadillac,XT5 AWD,SUV: Small,2,4,AS9,Z,11.2,8.9,10.1,28,235,5,6
2020,Cadillac,XT4 AWD,SUV: Small,2,4,AS9,Z,10.9,8.2,9.7,29,227,5,6
2020,Cadillac,XT6 AWD,SUV: Small,3.6,6,AS9,X,13.5,9.7,11.8,24,277,4,6
2020,Chevrolet,Blazer,SUV: Small,2.5,4,A9,X,11.3,8.9,10.2,28,238,5,5
2020,Chevrolet,Colorado,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,270,4,3
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,5.3,8,A6,X,15.9,11.8,14.1,20,331,3,5
2020,Chevrolet,Spark,Subcompact,1.4,4,AV,X,7.9,6.2,7.1,40,167,7,5
2020,Chevrolet,Blazer AWD,SUV: Small,2,4,A9,X,11.3,8.7,10.1,28,232,5,6
2020,Chevrolet,Colorado ZR2 4WD,Pickup truck: Small,3.6,6,A8,X,15,13,14.1,20,331,3,5
2020,Chevrolet,Blazer,SUV: Small,2,4,A9,X,11,8.3,9.8,29,225,5,6
2020,Chevrolet,Silverado WT 4WD,Pickup truck: Standard,2.7,4,A8,X,12.7,11,12,24,280,4,6
2020,Chevrolet,Spark,Subcompact,1.4,4,M5,X,8,6.2,7.2,39,170,7,5
2020,Chevrolet,Silverado,Pickup truck: Standard,5.3,8,A6,X,15.9,11.4,13.9,20,326,3,5
2020,Chevrolet,Silverado 4WD LT Trail Boss,Pickup truck: Standard,5.3,8,A10,X,14.7,11.2,13.1,22,307,3,5
2020,Chevrolet,Silverado,Pickup truck: Standard,4.3,6,A6,X,15.1,11.5,13.5,21,318,3,6
2020,Chevrolet,Colorado 4WD,Pickup truck: Small,2.5,4,A6,X,12.6,9.7,11.3,25,265,4,5
2020,Chevrolet,Tahoe FFV,SUV: Standard,5.3,8,A6,X,15.7,10.5,13.4,21,314,3,3
2020,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,E,21.7,14.3,18.4,15,305,3,3
2020,Chevrolet,Silverado 4WD,Pickup truck: Standard,4.3,6,A6,X,15.7,12,14.1,20,331,3,6
2020,Chevrolet,Tahoe 4WD FFV,SUV: Standard,5.3,8,A6,X,16,11.2,13.8,20,325,3,3
2020,Chevrolet,Silverado,Pickup truck: Standard,3,6,A10,D,10.2,7.2,8.9,32,238,5,1
2020,Chrysler,Voyager (Stop-Start),Minivan,3.6,6,A9,X,12.4,8.4,10.6,27,249,4,7
2020,Dodge,Challenger AWD,Mid-size,3.6,6,A8,X,12.8,8.7,11,26,258,4,3
2020,Dodge,Charger,Full-size,3.6,6,A5,X,13.7,9,11.6,24,271,4,3
2020,Dodge,Grand Caravan,Minivan,3.6,6,A6,X,13.7,9.4,11.8,24,276,4,5
2020,Dodge,Challenger SRT Hellcat Widebody,Mid-size,6.2,8,A8,Z,18.6,11.2,15.3,18,358,2,1
2020,Dodge,Challenger,Mid-size,5.7,8,M6,Z,15.6,10.1,13.1,22,307,3,1
2020,Dodge,Challenger Widebody (MDS),Mid-size,6.4,8,M6,Z,16.7,10.4,13.9,20,325,3,1
2020,FIAT,124 Spider,Two-seater,1.4,4,A6,X,9.3,6.5,8,35,187,6,3
2020,Ford,Shelby GT500 Mustang,Subcompact,5.2,8,AM7,Z,19.9,12.7,16.7,17,392,1,3
2020,Ford,F-150 FFV (Payload Pkg),Pickup truck: Standard,5,8,AS10,E,19.9,15.8,18,16,300,3,3
2020,Ford,F-150 4X4,Pickup truck: Standard,3.5,6,AS10,X,14.6,10.9,13,22,304,3,5
2020,Ford,F-150 FFV (Payload Pkg),Pickup truck: Standard,5,8,AS10,X,15.1,11.8,13.6,21,319,3,3
2020,Ford,Shelby GT350 Mustang,Subcompact,5.2,8,M6,Z,17.1,11.4,14.5,19,342,2,3
2020,Ford,T-150 Wagon FFV,Van: Passenger,3.5,6,AS10,E,21.5,16.2,19.1,15,316,3,1
2020,Ford,Explorer AWD,SUV: Standard,3,6,AS10,X,13.3,9.8,11.8,24,278,4,5
2020,Ford,F-150,Pickup truck: Standard,3,6,AS10,D,11.1,8.3,9.8,29,264,4,1
2020,Ford,Edge AWD,SUV: Small,2,4,AS8,X,11.4,8.3,10,28,233,5,5
2020,Ford,EcoSport,SUV: Small,1,3,AS6,X,8.6,8.1,8.4,34,197,6,5
2020,Ford,Explorer Hybrid AWD,SUV: Standard,3.3,6,AS10,X,10.1,9,9.6,29,225,5,5
2020,Ford,F-150 4X4 Limited,Pickup truck: Standard,3.5,6,AS10,X,13.8,11.2,12.6,22,296,3,5
2020,Ford,GT,Two-seater,3.5,6,AM7,Z,19.8,12.8,16.6,17,393,1,3
2020,Ford,F-150 FFV,Pickup truck: Standard,5,8,AS10,X,14.3,10.6,12.6,22,297,3,3
2020,Ford,Transit Connect Van FFV,Special purpose vehicle,2,4,AS8,E,13.3,11.8,12.6,22,209,5,5
2020,Ford,Edge AWD,SUV: Small,2.7,6,AS8,X,12.5,9.2,11,26,258,4,5
2020,Ford,F-150 4X4 XL/XLT,Pickup truck: Standard,3,6,AS10,D,11.3,8.5,10,28,270,4,1
2020,Genesis,G80 AWD,Full-size,3.3,6,AS8,Z,13.8,9.7,11.9,24,282,4,3
2020,Genesis,G80 AWD,Full-size,5,8,AS8,Z,15.6,10.4,13.2,21,312,3,5
2020,GMC,Yukon 4WD,SUV: Standard,6.2,8,A10,Z,16.5,10.9,13.9,20,327,3,3
2020,GMC,Sierra 4WD FFV,Pickup truck: Standard,5.3,8,A6,E,21.8,16.8,19.5,14,325,3,3
2020,GMC,Sierra FFV,Pickup truck: Standard,5.3,8,A6,X,16,12.6,14.4,20,339,2,3
2020,GMC,Yukon FFV,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,16,298,3,3
2020,GMC,Canyon 4WD,Pickup truck: Small,3.6,6,A8,X,14,9.9,12.2,23,286,3,5
2020,GMC,Yukon 4WD,SUV: Standard,5.3,8,A6,X,16,11.2,13.8,20,325,3,3
2020,GMC,Sierra 4WD AT4,Pickup truck: Standard,6.2,8,A10,Z,15.7,12.4,14.2,20,332,3,3
2020,GMC,Canyon,Pickup truck: Small,2.5,4,A6,X,12.1,9.2,10.8,26,252,4,5
2020,GMC,Acadia,SUV: Standard,2,4,A9,X,11,8.3,9.8,29,225,5,6
2020,GMC,Terrain,SUV: Small,1.5,4,A9,X,9.2,7.8,8.6,33,202,6,7
2020,GMC,Yukon XL FFV,SUV: Standard,5.3,8,A6,E,21.2,13.9,17.9,16,298,3,3
2020,GMC,Sierra 4WD AT4,Pickup truck: Standard,5.3,8,A10,X,14.7,11.2,13.1,22,307,3,5
2020,GMC,Canyon,Pickup truck: Small,2.8,4,A6,D,11.8,7.9,10.1,28,270,4,3
2020,Honda,HR-V,Station wagon: Small,1.8,4,AV,X,8.4,7,7.8,36,181,7,5
2020,Honda,Civic Coupe,Compact,2,4,M6,X,9.3,6.7,8.1,35,189,6,3
2020,Honda,Civic Sedan,Mid-size,2,4,M6,X,9.3,6.5,8,35,186,7,3
2020,Honda,HR-V AWD,Station wagon: Small,1.8,4,AV,X,8.8,7.5,8.2,34,193,6,5
2020,Honda,Civic Sedan Si,Mid-size,1.5,4,M6,Z,8.9,6.4,7.8,36,183,7,3
2020,Honda,Ridgeline AWD,Pickup truck: Standard,3.5,6,AS9,X,12.6,10,11.4,25,269,4,3
2020,Honda,Civic Sedan,Mid-size,1.5,4,AV7,X,7.8,6.2,7.1,40,165,7,3
2020,Honda,Odyssey,Minivan,3.5,6,AS10,X,12.2,8.5,10.6,27,248,4,5
2020,Hyundai,Accent,Compact,1.6,4,AV,X,7.3,6,6.7,42,160,8,3
2020,Hyundai,Santa Fe AWD,SUV: Small,2.4,4,AS8,X,11.3,8.8,10.1,28,238,5,5
2020,Hyundai,IONIQ,Full-size,1.6,4,AM6,X,4.2,4.2,4.2,67,99,10,7
2020,Hyundai,Tucson AWD,SUV: Small,2,4,AS6,X,10.8,9.2,10.1,28,239,5,5
2020,Hyundai,Kona AWD,SUV: Small,1.6,4,AM7,X,9,8,8.6,33,201,6,5
2020,Hyundai,Veloster,Compact,2,4,AS6,X,9.1,7.1,8.2,34,193,6,5
2020,Hyundai,Elantra GT,Full-size,1.6,4,M6,X,10.3,7.9,9.2,31,218,5,5
2020,Hyundai,Veloster Turbo,Compact,1.6,4,M6,X,9.4,7,8.3,34,196,6,5
2020,Infiniti,Q50 AWD,Mid-size,3,6,AS7,Z,12.5,8.7,10.8,26,254,4,3
2020,Infiniti,QX50 AWD,SUV: Small,2,4,AV8,Z,10.8,8.3,9.7,29,228,5,5
2020,Jaguar,F-TYPE P300 Coupe,Two-seater,2,4,AS8,Z,10.2,7.8,9.2,31,215,5,7
2020,Jaguar,F-PACE 30t,SUV: Small,2,4,AS8,Z,10.9,8.7,9.9,29,232,5,7
2020,Jaguar,F-TYPE SVR AWD Coupe,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,22,299,3,3
2020,Jaguar,F-PACE 25t,SUV: Small,2,4,AS8,Z,10.7,8.8,9.9,29,227,5,7
2020,Jaguar,F-TYPE Convertible R-Dynamic,Two-seater,3,6,AS8,Z,12.4,8.8,10.8,26,253,4,7
2020,Jaguar,F-PACE S,SUV: Small,3,6,AS8,Z,13.3,10,11.8,24,277,4,7
2020,Jeep,Grand Cherokee 4X4,SUV: Standard,3.6,6,A8,X,12.7,9.6,11.3,25,265,4,7
2020,Jeep,Wrangler 4X4,SUV: Small,2,4,A8,X,10.7,9.8,10.3,27,241,5,5
2020,Jeep,Gladiator 4X4,Pickup truck: Standard,3.6,6,M6,X,14.3,10.4,12.6,22,296,3,5
2020,Jeep,Wrangler 4X4 eTorque,SUV: Small,3.6,6,A8,X,12,9.8,11,26,259,4,5
2020,Jeep,Wrangler Unlimited 4X4,SUV: Small,3.6,6,A8,X,12.9,10.7,11.9,24,280,4,5
2020,Jeep,Compass 4X4,SUV: Small,2.4,4,M6,X,10.8,7.6,9.4,30,221,5,3
2020,Jeep,Cherokee,SUV: Small,2.4,4,A9,X,10.8,7.6,9.3,30,219,5,6
2020,Jeep,Compass,SUV: Small,2.4,4,M6,X,10.4,7.3,9,31,211,5,3
2020,Jeep,Grand Cherokee 4X4,SUV: Standard,5.7,8,A8,X,16.7,10.9,14.1,20,331,3,3
2020,Kia,Forte 5,Full-size,2,4,AV,X,8,6,7.1,40,169,7,5
2020,Kia,Forte 5,Full-size,1.6,4,AM7,X,8.9,6.9,8,35,190,6,5
2020,Kia,Optima,Full-size,2.4,4,AS6,X,9.5,7.1,8.4,34,199,6,5
2020,Kia,Niro,Station wagon: Small,1.6,4,AM6,X,4.6,5.1,4.8,59,114,10,7
2020,Kia,Forte,Mid-size,2,4,AV,X,7.9,5.9,7,40,165,7,5
2020,Kia,Sportage AWD,SUV: Small,2.4,4,AS6,X,10.8,9.1,10,28,239,5,5
2020,Lamborghini,Huracan Coupe AWD,Two-seater,5.2,10,AM7,Z,18,12.9,15.7,18,370,2,1
2020,Lamborghini,Huracan Coupe,Two-seater,5.2,10,AM7,Z,18,12.9,15.7,18,370,2,1
2020,Land Rover,Range Rover 3.0,SUV: Standard,3,6,AS8,Z,12.2,9.4,11,26,258,4,7
2020,Land Rover,Range Rover 5.0 Supercharged,SUV: Standard,5,8,AS8,Z,14.4,11.2,12.9,22,305,3,3
2020,Land Rover,Discovery Sport P290,SUV: Small,2,4,AS9,Z,12.3,9.8,11.1,25,262,4,7
2020,Land Rover,Range Rover Velar P380,SUV: Small,3,6,AS8,Z,13,10,11.6,24,273,4,7
2020,Land Rover,Range Rover Sport TD6 Diesel,SUV: Standard,3,6,AS8,D,10.7,8.3,9.6,29,256,4,1
2020,Lexus,LC 500h,Subcompact,3.5,6,AV10,Z,9,7.1,8.1,35,189,6,7
2020,Lexus,ES 350,Mid-size,3.5,6,AS8,X,10.7,7.2,9.1,31,213,5,5
2020,Lexus,NX 300 AWD,SUV: Small,2,4,AS6,Z,10.7,8.5,9.7,29,226,5,3
2020,Lexus,GX 460,SUV: Standard,4.6,8,AS6,Z,16.2,12.3,14.5,19,337,2,3
2020,Lexus,RX 450h L AWD,SUV: Standard,3.5,6,AV6,Z,8.1,8.4,8.1,35,190,6,7
2020,Lexus,RC 300 AWD,Subcompact,3.5,6,AS6,Z,13.1,9.8,11.2,25,262,4,5
2020,Lincoln,Continental AWD,Full-size,2.7,6,AS6,X,14,9.5,12,24,281,4,5
2020,Lincoln,Nautilus AWD,SUV: Small,2.7,6,AS8,X,12.5,9.2,11,26,258,4,5
2020,Lincoln,Aviator,SUV: Standard,3,6,AS10,X,13.7,9.7,11.9,24,280,4,5
2020,Maserati,Quattroporte GTS,Full-size,3.8,8,AS8,Z,16,10.8,13.7,21,321,3,1
2020,Maserati,Quattroporte S Q4,Full-size,3,6,AS8,Z,15,10.3,12.8,22,301,3,1
2020,Mazda,Mazda6,Mid-size,2.5,4,AS6,X,9,6.7,8,35,188,6,7
2020,Mazda,CX-30,SUV: Small,2,4,AS6,X,8.9,7.1,8.1,35,189,6,7
2020,Mazda,Mazda3 5-Door (SIL),Mid-size,2.5,4,M6,X,9.2,6.6,8.1,35,189,6,7
2020,Mazda,Mazda3 5-Door,Mid-size,2,4,AS6,X,8.6,6.7,7.7,37,181,7,7
2020,Mazda,CX-3,Compact,2,4,AS6,X,8.3,6.9,7.7,37,179,7,3
2020,Mazda,Mazda3 5-Door,Mid-size,2.5,4,AS6,X,9,6.8,8,35,187,7,7
2020,Mazda,CX-5,SUV: Small,2.5,4,AS6,X,9.7,7.8,8.8,32,206,6,7
2020,Mercedes-Benz,AMG S 63 4MATIC+ Coupe,Compact,4,8,A9,Z,14,8.7,11.6,24,271,4,5
2020,Mercedes-Benz,C 300 4MATIC Cabriolet,Subcompact,2,4,A9,Z,11.3,8.1,9.9,29,231,5,5
2020,Mercedes-Benz,C 300 4MATIC Coupe,Subcompact,2,4,A9,Z,10.9,7.7,9.5,30,221,5,5
2020,Mercedes-Benz,AMG C 43 4MATIC Wagon,Station wagon: Small,3,6,A9,Z,12.4,8.9,10.8,26,255,4,5
2020,Mercedes-Benz,AMG GLC 63 S 4MATIC+ Coupe,SUV: Small,4,8,A9,Z,15,10.9,13.2,21,309,3,5
2020,Mercedes-Benz,C 300 4MATIC,Compact,2,4,A9,Z,11,7.3,9.4,30,219,5,5
2020,Mercedes-Benz,S 450 4MATIC SWB,Mid-size,3,6,A9,Z,12.8,8.5,10.8,26,253,4,3
2020,Mercedes-Benz,AMG C 63,Compact,4,8,A9,Z,13.2,8.7,11.2,25,263,4,5
2020,Mercedes-Benz,AMG C 63 S Cabriolet,Subcompact,4,8,A9,Z,13.9,9.7,12,24,282,4,5
2020,MINI,Cooper S Countryman ALL4,Mid-size,2,4,AS8,Z,10.4,7.5,9.1,31,212,5,7
2020,MINI,Cooper Countryman ALL4,Mid-size,1.5,3,AS8,Z,9.8,7.1,8.6,33,200,6,7
2020,MINI,Cooper S 5 Door,Subcompact,2,4,AM7,Z,8.9,6.6,7.9,36,184,7,7
2020,MINI,Cooper S Clubman ALL4,Mid-size,2,4,AS8,Z,10.2,7.4,8.9,32,207,6,7
2020,Mitsubishi,Outlander 4WD,SUV: Small,2.4,4,AV6,X,9.9,8.1,9.1,31,212,5,5
2020,Mitsubishi,Mirage,Compact,1.2,3,AV,X,6.6,5.6,6.2,46,143,9,5
2020,Nissan,370Z,Two-seater,3.7,6,M6,Z,13.3,9.3,11.5,25,270,4,3
2020,Nissan,Murano AWD,Station wagon: Mid-size,3.5,6,AV7,X,11.7,8.5,10.3,27,242,5,5
2020,Nissan,Versa,Compact,1.6,4,AV,X,7.4,5.9,6.7,42,158,8,7
2020,Nissan,Pathfinder 4WD,SUV: Small,3.5,6,AV,X,12.1,8.9,10.7,26,251,4,5
2020,Nissan,Armada 4WD,SUV: Standard,5.6,8,AS7,X,17.5,12.9,15.4,18,362,2,3
2020,Nissan,Titan 4WD Pro-4X,Pickup truck: Standard,5.6,8,AS9,Z,15.1,11.2,13.3,21,313,3,5
2020,Nissan,Qashqai,Station wagon: Small,2,4,M6,X,10.1,8.2,9.2,31,217,5,5
2020,Porsche,Cayenne Turbo,SUV: Standard,4,8,AS8,Z,15.6,12.4,14.1,20,329,3,5
2020,Porsche,911 Carrera 4S,Minicompact,3,6,AM8,Z,13.1,10.2,11.8,24,277,4,5
2020,Porsche,Panamera Turbo ST,Full-size,4,8,AM8,Z,13.4,10.1,11.9,24,279,4,3
2020,Porsche,911 Carrera S Cabriolet,Minicompact,3,6,AM8,Z,12.7,10.2,11.6,24,272,4,5
2020,Porsche,Panamera,Full-size,3,6,AM8,Z,12.4,8.7,10.7,26,250,4,5
2020,Ram,1500 eTorque,Pickup truck: Standard,3.6,6,A8,X,11.9,9.4,10.8,26,253,4,5
2020,Ram,1500 Classic 4X4,Pickup truck: Standard,3.6,6,A8,X,14.5,10.2,12.6,22,294,3,3
2020,Ram,1500 4X4,Pickup truck: Standard,5.7,8,A8,X,16.1,11,13.8,20,325,3,3
2020,Ram,1500 eTorque,Pickup truck: Standard,5.7,8,A8,X,14.1,10.3,12.4,23,290,3,3
2020,Rolls-Royce,Wraith,Mid-size,6.6,12,AS8,Z,19.6,12.8,16.5,17,387,1,3
2020,Rolls-Royce,Ghost EWB,Full-size,6.6,12,AS8,Z,20.4,13.1,17.1,17,400,1,3
2020,Subaru,Outback AWD,SUV: Small,2.4,4,AV8,X,10.1,7.9,9.1,31,213,5,3
2020,Subaru,Crosstrek AWD,SUV: Small,2,4,M6,X,10.5,8.1,9.4,30,220,5,6
2020,Subaru,WRX AWD,Compact,2,4,AV8,Z,12.9,9.7,11.5,25,263,4,1
2020,Subaru,BRZ,Minicompact,2,4,M6,Z,11.2,8.2,9.9,29,231,5,1
2020,Toyota,GR Supra,Two-seater,3,6,AS8,Z,9.9,7.7,8.9,32,208,6,3
2020,Toyota,RAV4 Hybrid AWD,SUV: Small,2.5,4,AV6,X,5.7,6.3,6,47,139,9,7
2020,Toyota,Highlander,SUV: Small,3.5,6,AS8,X,11.9,8.3,10.3,27,240,5,5
2020,Toyota,Corolla,Compact,2,4,M6,X,8.2,6.5,7.4,38,173,7,6
2020,Toyota,Camry,Mid-size,2.5,4,AS8,X,8.1,5.7,6.9,41,164,8,7
2020,Toyota,Corolla Hatchback,Compact,2,4,M6,X,8.4,6.3,7.5,38,174,7,6
2020,Toyota,Avalon,Mid-size,3.5,6,AS8,X,10.9,7.6,9.4,30,220,5,5
2020,Toyota,Sequoia 4WD,SUV: Standard,5.7,8,AS6,X,18.5,13.9,16.4,17,385,1,5
2020,Toyota,Camry XLE/XSE,Mid-size,2.5,4,AS8,X,8.6,6.3,7.6,37,177,7,7
2020,Toyota,Tundra,Pickup truck: Standard,5.7,8,AS6,X,17.7,13.6,15.9,18,371,2,5
2020,Toyota,4Runner 4WD,SUV: Standard,4,6,AS5,X,14.8,12.5,13.8,20,321,3,5
2020,Toyota,Tacoma 4WD,Pickup truck: Small,2.7,4,AS6,X,12.7,10.6,11.7,24,274,4,5
2020,Volkswagen,Golf,Compact,1.4,4,M6,X,8.4,6.6,7.6,37,177,7,7
2020,Volkswagen,Passat,Mid-size,2,4,AS6,X,10.2,6.9,8.7,32,205,6,7
2020,Volkswagen,Golf GTI,Compact,2,4,AM7,X,9.7,7.5,8.7,32,203,6,7
2020,Volvo,S60 T6 AWD,Compact,2,4,AS8,Z,11,7.4,9.4,30,219,5,7
2020,Volvo,S60 T5,Compact,2,4,AS8,Z,10.5,7.1,8.9,32,208,6,5
2020,Volvo,XC60 T5 AWD,SUV: Small,2,4,AS8,Z,11.2,8.3,9.9,29,232,5,5
